question,choices,solution,lecture,full_text,text_question,text_solution,text_lecture,education_level,grade,subject,topic,category
Which greeting is correct for a letter?,"['Dear dr. gupta,' 'Dear Dr. Gupta,']","The second greeting is correct:
Its first word is capitalized, and it ends with a comma. Dr. Gupta is capitalized because it is a proper noun.","A letter starts with a greeting and ends with a closing. For each one, capitalize the first word and end with a comma. You should also capitalize proper nouns, such as Aunt Sue.
Dear Aunt Sue,
I'm glad you could come to my party, and
thank you for the birthday gift. I could not have
asked for a better one! Every time I see it, I think
of you.
With love,
Rory","Which greeting is correct for a letter? Dear dr. gupta, Dear Dr. Gupta, The second greeting is correct:
Its first word is capitalized, and it ends with a comma. Dr. Gupta is capitalized because it is a proper noun. A letter starts with a greeting and ends with a closing. For each one, capitalize the first word and end with a comma. You should also capitalize proper nouns, such as Aunt Sue.
Dear Aunt Sue,
I'm glad you could come to my party, and
thank you for the birthday gift. I could not have
asked for a better one! Every time I see it, I think
of you.
With love,
Rory",Which greeting is correct for a letter?,"The second greeting is correct:
Its first word is capitalized, and it ends with a comma. Dr. Gupta is capitalized because it is a proper noun.","A letter starts with a greeting and ends with a closing. For each one, capitalize the first word and end with a comma. You should also capitalize proper nouns, such as Aunt Sue.
Dear Aunt Sue,
I'm glad you could come to my party, and
thank you for the birthday gift. I could not have
asked for a better one! Every time I see it, I think
of you.
With love,
Rory",elementary,grade3,language science,punctuation,Formatting
"Which figure of speech is used in this text?
The comedy show was a huge success. The audience was dying of laughter the entire time.",['hyperbole' 'euphemism'],"The text uses hyperbole, an obvious exaggeration that is not meant to be taken literally.
Dying of laughter is an exaggeration, since it is clear that the audience did not actually die.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.","Which figure of speech is used in this text?
The comedy show was a huge success. The audience was dying of laughter the entire time. hyperbole euphemism The text uses hyperbole, an obvious exaggeration that is not meant to be taken literally.
Dying of laughter is an exaggeration, since it is clear that the audience did not actually die. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.","Which figure of speech is used in this text?
The comedy show was a huge success. The audience was dying of laughter the entire time.","The text uses hyperbole, an obvious exaggeration that is not meant to be taken literally.
Dying of laughter is an exaggeration, since it is clear that the audience did not actually die.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.",high,grade9,language science,figurative-language,Literary devices
Which is a run-on sentence?,"['Ian picked apples he will give some away.'
 'My sister passed the pitcher of water to Aunt Luna.']",Ian picked apples he will give some away is a run-on sentence. It has two sentences that are joined without end punctuation: Ian picked apples and He will give some away.,"A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.","Which is a run-on sentence? Ian picked apples he will give some away. My sister passed the pitcher of water to Aunt Luna. Ian picked apples he will give some away is a run-on sentence. It has two sentences that are joined without end punctuation: Ian picked apples and He will give some away. A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",Which is a run-on sentence?,Ian picked apples he will give some away is a run-on sentence. It has two sentences that are joined without end punctuation: Ian picked apples and He will give some away.,"A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",elementary,grade3,language science,writing-strategies,"Sentences, fragments, and run-ons"
"Which word would you find on a dictionary page with the following guide words?
keep - knives",['king' 'kangaroo'],"Put the words in alphabetical order.
Since king is between the guide words keep - knives, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Which word would you find on a dictionary page with the following guide words?
keep - knives king kangaroo Put the words in alphabetical order.
Since king is between the guide words keep - knives, it would be found on that page. Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Which word would you find on a dictionary page with the following guide words?
keep - knives","Put the words in alphabetical order.
Since king is between the guide words keep - knives, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",elementary,grade3,language science,reference-skills,Reference skills
"Based on this information, what is Skeeter's phenotype for the body hair trait?",['a hairy body' 'a hairless body'],"Skeeter's genotype for the body hair gene is bb. Skeeter's genotype of bb has only b alleles. The b allele is for a hairless body. So, Skeeter's phenotype for the body hair trait must be a hairless body.
To check this answer, consider whether Skeeter's alleles are dominant or recessive. The allele for a hairless body (b) is recessive to the allele for a hairy body (B). This means B is a dominant allele, and b is a recessive allele.
Skeeter's genotype of bb has only recessive alleles. An organism with only recessive alleles for a gene will have the recessive allele's version of the trait. So, Skeeter's phenotype for the body hair trait must be a hairless body.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.","Based on this information, what is Skeeter's phenotype for the body hair trait? a hairy body a hairless body Skeeter's genotype for the body hair gene is bb. Skeeter's genotype of bb has only b alleles. The b allele is for a hairless body. So, Skeeter's phenotype for the body hair trait must be a hairless body.
To check this answer, consider whether Skeeter's alleles are dominant or recessive. The allele for a hairless body (b) is recessive to the allele for a hairy body (B). This means B is a dominant allele, and b is a recessive allele.
Skeeter's genotype of bb has only recessive alleles. An organism with only recessive alleles for a gene will have the recessive allele's version of the trait. So, Skeeter's phenotype for the body hair trait must be a hairless body. All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.","Based on this information, what is Skeeter's phenotype for the body hair trait?","Skeeter's genotype for the body hair gene is bb. Skeeter's genotype of bb has only b alleles. The b allele is for a hairless body. So, Skeeter's phenotype for the body hair trait must be a hairless body.
To check this answer, consider whether Skeeter's alleles are dominant or recessive. The allele for a hairless body (b) is recessive to the allele for a hairy body (B). This means B is a dominant allele, and b is a recessive allele.
Skeeter's genotype of bb has only recessive alleles. An organism with only recessive alleles for a gene will have the recessive allele's version of the trait. So, Skeeter's phenotype for the body hair trait must be a hairless body.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.",middle,grade6,natural science,biology,Genes to traits
What information supports the conclusion that Kevin inherited this trait?,"[""Kevin's parents were born with straight hair. They passed down this trait to Kevin.""
 'Kevin and his father both have short hair.']",,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.","What information supports the conclusion that Kevin inherited this trait? Kevin's parents were born with straight hair. They passed down this trait to Kevin. Kevin and his father both have short hair. Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",What information supports the conclusion that Kevin inherited this trait?,,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",elementary,grade3,natural science,biology,Heredity
"Which figure of speech is used in this text?
When Mona first joined the track team, she was afraid of jumping, but she got over that hurdle.",['verbal irony' 'pun'],"The text uses a pun, a word or phrase that humorously suggests more than one meaning.
Hurdle refers to an obstacle that one must overcome. It also refers to an object that a runner jumps over.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Alliteration is the repetition of sounds at the beginning of nearby words.
What a lucky little lady you are!
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
An idiom is an expression that cannot be understood literally. Its meaning must be learned.
The assignment was a piece of cake.
A simile uses like or as to compare two things that are not actually alike.
The cat's fur was as dark as the night.
A metaphor compares two things that are not actually alike without using like or as.
The snow formed a blanket over the town.
Onomatopoeia involves using a word that expresses a sound.
The scrambled eggs hit the floor with a splat.
Personification is giving human characteristics to nonhuman things.
The trees danced in the wind.
A pun involves using a word or phrase in a humorous way that suggests more than one meaning.
A great new broom is sweeping the nation.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.","Which figure of speech is used in this text?
When Mona first joined the track team, she was afraid of jumping, but she got over that hurdle. verbal irony pun The text uses a pun, a word or phrase that humorously suggests more than one meaning.
Hurdle refers to an obstacle that one must overcome. It also refers to an object that a runner jumps over. Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Alliteration is the repetition of sounds at the beginning of nearby words.
What a lucky little lady you are!
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
An idiom is an expression that cannot be understood literally. Its meaning must be learned.
The assignment was a piece of cake.
A simile uses like or as to compare two things that are not actually alike.
The cat's fur was as dark as the night.
A metaphor compares two things that are not actually alike without using like or as.
The snow formed a blanket over the town.
Onomatopoeia involves using a word that expresses a sound.
The scrambled eggs hit the floor with a splat.
Personification is giving human characteristics to nonhuman things.
The trees danced in the wind.
A pun involves using a word or phrase in a humorous way that suggests more than one meaning.
A great new broom is sweeping the nation.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.","Which figure of speech is used in this text?
When Mona first joined the track team, she was afraid of jumping, but she got over that hurdle.","The text uses a pun, a word or phrase that humorously suggests more than one meaning.
Hurdle refers to an obstacle that one must overcome. It also refers to an object that a runner jumps over.","Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
Alliteration is the repetition of sounds at the beginning of nearby words.
What a lucky little lady you are!
An allusion is a brief reference to something or someone well known, often from history or literature.
""I'd better get home before I turn into a pumpkin!"" Lila remarked.
An idiom is an expression that cannot be understood literally. Its meaning must be learned.
The assignment was a piece of cake.
A simile uses like or as to compare two things that are not actually alike.
The cat's fur was as dark as the night.
A metaphor compares two things that are not actually alike without using like or as.
The snow formed a blanket over the town.
Onomatopoeia involves using a word that expresses a sound.
The scrambled eggs hit the floor with a splat.
Personification is giving human characteristics to nonhuman things.
The trees danced in the wind.
A pun involves using a word or phrase in a humorous way that suggests more than one meaning.
A great new broom is sweeping the nation.
Verbal irony involves saying one thing but implying something very different. People often use verbal irony when they are being sarcastic.
Olivia seems thrilled that her car keeps breaking down.
Each breakdown is as enjoyable as a punch to the face.",high,grade10,language science,figurative-language,Literary devices
Which marble has a higher temperature?,"['the marble with more thermal energy'
 'the marble with less thermal energy']","The two marbles are made of the same material and have the same mass. So, the marble with more thermal energy has a higher temperature.","Matter is made of tiny particles called atoms. Atoms are always moving.
The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving.
Temperature measures how hot or cold matter is. If the atoms in matter move faster, the temperature goes up. The matter now has both more thermal energy and a higher temperature.
What happens if the amount of matter changes? A 2-kilogram brick at 70°F has twice as much thermal energy as a 1-kilogram brick at 70°F. The two bricks have the same temperature, but the larger brick has twice as many atoms. So, it has twice as much thermal energy.","Which marble has a higher temperature? the marble with more thermal energy the marble with less thermal energy The two marbles are made of the same material and have the same mass. So, the marble with more thermal energy has a higher temperature. Matter is made of tiny particles called atoms. Atoms are always moving.
The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving.
Temperature measures how hot or cold matter is. If the atoms in matter move faster, the temperature goes up. The matter now has both more thermal energy and a higher temperature.
What happens if the amount of matter changes? A 2-kilogram brick at 70°F has twice as much thermal energy as a 1-kilogram brick at 70°F. The two bricks have the same temperature, but the larger brick has twice as many atoms. So, it has twice as much thermal energy.",Which marble has a higher temperature?,"The two marbles are made of the same material and have the same mass. So, the marble with more thermal energy has a higher temperature.","Matter is made of tiny particles called atoms. Atoms are always moving.
The energy of moving atoms is called thermal energy. The total amount of thermal energy in matter depends on three things: the type of matter, the amount of matter, and how fast the atoms are moving.
Temperature measures how hot or cold matter is. If the atoms in matter move faster, the temperature goes up. The matter now has both more thermal energy and a higher temperature.
What happens if the amount of matter changes? A 2-kilogram brick at 70°F has twice as much thermal energy as a 1-kilogram brick at 70°F. The two bricks have the same temperature, but the larger brick has twice as many atoms. So, it has twice as much thermal energy.",middle,grade6,natural science,physics,Thermal energy
"Would you find the word steadily on a dictionary page with the following guide words?
screen - surf",['yes' 'no'],"Put the words in alphabetical order.
Since steadily is between the guide words screen - surf, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Would you find the word steadily on a dictionary page with the following guide words?
screen - surf yes no Put the words in alphabetical order.
Since steadily is between the guide words screen - surf, it would be found on that page. Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Would you find the word steadily on a dictionary page with the following guide words?
screen - surf","Put the words in alphabetical order.
Since steadily is between the guide words screen - surf, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",middle,grade6,language science,reference-skills,Reference skills
"Which type of sentence is this?
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him.",['complex' 'simple' 'compound' 'compound-complex'],"The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him.","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","Which type of sentence is this?
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him. complex simple compound compound-complex The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him. A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","Which type of sentence is this?
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Bert sat down on the rickety old chair, it abruptly collapsed beneath him.","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.",high,grade10,language science,grammar,Phrases and clauses
