question,answer,grade_level
What is an idiom? Give an example.,"A phrase with figurative meaning; e.g., 'break a leg' means good luck.",middle
Write a sentence using a semicolon correctly.,I like apples; she likes oranges.,middle
What is the difference between 'affect' and 'effect'?,"Affect is a verb (to influence), effect is a noun (result).",middle
"Identify the dependent clause: 'When the bell rings, we leave.'",When the bell rings,middle
What is the climax of 'The Giver'?,Jonas discovers the truth about release and decides to escape.,middle
Define 'foreshadowing'.,Hints about future events in a story.,middle
Correct: 'Each student have a book.',Each student has a book.,middle
What is the subject-verb agreement rule for 'neither...nor'?,The verb agrees with the subject closest to it.,middle
What type of figurative language is 'the wind whispered'?,personification,middle
Explain the difference between connotation and denotation.,Denotation is literal meaning; connotation is emotional association.,middle
What is the purpose of a thesis statement?,To state the main argument of an essay.,middle
Identify the internal conflict in 'Hatchet'.,Brian struggles with despair and self-doubt after the plane crash.,middle
What is a synonym for 'benevolent'?,kind,middle
What is the difference between a compound sentence and a complex sentence?,Compound has two independent clauses; complex has one independent and one dependent.,middle
Define 'onomatopoeia' and give an example.,"Words that imitate sounds; e.g., 'buzz', 'boom'.",middle
What is the theme of 'The Diary of Anne Frank'?,The resilience of the human spirit in the face of oppression.,middle
What is the past participle of 'sing'?,sung,middle
Identify the type of conflict: man vs. nature in 'The Call of the Wild'.,external conflict,middle
What is the function of an adverb?,"It modifies a verb, adjective, or another adverb.",middle
What is a gerund? Give an example.,"A verb form ending in -ing used as a noun; e.g., 'swimming is fun'.",middle
What is the exposition in a story?,"Introduction of characters, setting, and basic situation.",middle
"Rewrite avoiding the dangling modifier: 'Walking home, the rain started.'","While I was walking home, the rain started.",middle
What is a hyperbole? Provide an example.,"Exaggeration for effect; e.g., 'I'm so hungry I could eat a horse'.",middle
Define 'theme' in literature.,The central message or insight about life.,middle
What is the difference between 'who' and 'whom'?,Who is subjective case; whom is objective.,middle
Identify the literary device: 'Life is a highway.',metaphor,middle
What is the importance of the setting in 'To Kill a Mockingbird'?,It highlights racial injustice in the 1930s American South.,middle
What is the correct spelling of the word meaning 'not necessary'?,unnecessary,middle
Define 'paradox' and give an example.,"A seemingly self-contradictory statement; e.g., 'This statement is false'.",middle
Analyze the use of symbolism in 'The Great Gatsby' regarding the green light.,"The green light represents Gatsby's hope and the American Dream, which is ultimately unattainable.",high
Explain the concept of 'intertextuality' with an example.,"Intertextuality is the relationship between texts; e.g., 'Ulysses' references Homer's Odyssey.",high
What is the effect of a non-linear narrative structure?,"It can create suspense, emphasize themes, or reflect memory's disjointed nature.",high
Differentiate between synecdoche and metonymy.,"Synecdoche uses a part for a whole (e.g., 'wheels' for car); metonymy uses a related term (e.g., 'crown' for monarchy).",high
How does Shakespeare use soliloquy to reveal character in 'Hamlet'?,"Soliloquies like 'To be or not to be' expose Hamlet's inner turmoil, doubts, and philosophical reflections.",high
What is the role of the chorus in Greek tragedy?,"It provides commentary, background, and reflects the audience's reactions.",high
Define 'bildungsroman' and give an example.,"A coming-of-age novel; e.g., 'The Catcher in the Rye'.",high
Analyze the use of stream of consciousness in 'Mrs. Dalloway'.,"It captures the characters' internal thoughts and perceptions fluidly, showing subjectivity of time and experience.",high
What is the significance of the title 'Brave New World'?,"It is ironic, taken from Shakespeare's 'The Tempest', contrasting a seemingly perfect world with dystopian control.",high
Explain the concept of 'the uncanny' in Gothic literature.,"The uncanny is a feeling of unease from something familiar yet strange, often used to create dread.",high
How does Jane Austen use irony in 'Pride and Prejudice'?,"She uses verbal and situational irony to critique social class and marriage, especially through Elizabeth's perspective.",high
What is a 'foil' character? Provide an example.,"A character who contrasts with another to highlight traits; e.g., Banquo vs. Macbeth.",high
Define 'epistolary novel' and name one.,"A novel told through letters; e.g., 'Dracula'.",high
Analyze the symbolism of the conch in 'Lord of the Flies'.,"The conch represents order, civilization, and democratic power, which deteriorates as savagery takes over.",high
What is the difference between iambic pentameter and free verse?,Iambic pentameter has a consistent meter (five pairs of unstressed/stressed syllables); free verse has no regular meter or rhyme.,high
Explain the concept of 'pathetic fallacy' and give an example.,"Attributing human emotions to nature; e.g., stormy weather reflecting a character's anger.",high
How does Toni Morrison use magical realism in 'Beloved'?,"The ghost of Beloved is both real and symbolic, blending supernatural elements with historical trauma.",high
What is a 'künstlerroman'?,"A novel about an artist's growth, e.g., 'A Portrait of the Artist as a Young Man'.",high
Define 'dramatic monologue' and its purpose.,"A poem where a speaker addresses a silent listener, revealing character; e.g., Browning's 'My Last Duchess'.",high
Analyze the theme of alienation in 'The Metamorphosis'.,Gregor's transformation into an insect symbolizes his dehumanization and isolation from family and society.,high
What is the significance of the 'whale' in 'Moby-Dick'?,"The whale is a complex symbol representing nature, the unknowable, obsession, and the sublime.",high
Explain 'deus ex machina' and its criticism.,An improbable device resolving a plot; criticized as artificial and unsatisfying.,high
How does George Orwell use allegory in 'Animal Farm'?,"The farm animals represent historical figures and events, satirizing the Russian Revolution and totalitarianism.",high
What is 'negative capability' as defined by Keats?,The ability to embrace uncertainty and mystery without irritable reaching after fact and reason.,high
Define 'catharsis' in Aristotle's Poetics.,The emotional purification or release through pity and fear experienced by the audience.,high
Identify the poetic foot: 'in-crease',iamb,high
What is the effect of enjambment in poetry?,"It creates continuity, speeds up the pace, and can emphasize certain words by breaking lines unexpectedly.",high
Analyze the role of the narrator in 'The Great Gatsby'.,"Nick Carraway is a partially unreliable narrator, providing a moral lens while being influenced by his biases.",high
What is 'magical realism'? Name a key author.,"A genre where magical elements blend seamlessly into realistic settings; e.g., Gabriel Garcia Marquez.",high
Explain 'ekphrasis' with an example.,"A vivid description of a work of art; e.g., Keats' 'Ode on a Grecian Urn'.",high
How does Virginia Woolf challenge traditional narrative in 'To the Lighthouse'?,"Through stream of consciousness, shifting perspectives, and focus on inner reality over plot.",high
Define 'anagnorisis' in Greek tragedy.,"A moment of critical discovery or recognition, often near the climax.",high
What is the difference between a tragedy and a comedy in classical drama?,"Tragedy has a serious plot, downfall of a protagonist; comedy has a light tone, happy ending, often with satire.",high
Analyze the use of color imagery in 'The Scarlet Letter'.,"The red 'A' symbolizes sin, passion, and later ability; the black forest represents the unknown.",high
What is 'postmodernism' in literature?,"A movement that rejects grand narratives, uses metafiction, parody, and fragmentation.",high
Explain the term 'unreliable narrator'.,"A narrator whose credibility is compromised, leading the reader to question the story's truth.",high
How does Chaucer use satire in 'The Canterbury Tales'?,He critiques social classes and religious hypocrisy through exaggerated characters like the Pardoner.,high
What is a 'round character'?,"A complex, fully developed character with multiple traits and realistic depth.",high
Define 'verisimilitude'.,The appearance of being true or real in a literary work.,high
Analyze the theme of identity in 'Invisible Man' by Ralph Ellison.,The protagonist struggles to define himself in a racist society that denies his individuality; invisibility is a metaphor.,high
What is the function of a 'foil' in drama?,To contrast with the main character and highlight specific qualities.,high
Explain 'sublime' in Romantic literature.,"Awe-inspiring vastness or power that is both beautiful and terrifying, often in nature.",high
How does F. Scott Fitzgerald use the color green in 'The Great Gatsby'?,"Green symbolizes hope, money, and the American Dream; the green light is Gatsby's unattainable goal.",high
What is the effect of first-person plural narration?,"It creates a collective voice, emphasizes community or shared experience, and can de-individualize.",high
Define 'chiasmus' and provide an example.,"A rhetorical reversal of structure; e.g., 'Ask not what your country can do for you, ask what you can do for your country.'",high
Analyze the use of frame story in 'Heart of Darkness'.,"The frame of sailors on the Thames contrasts the darkness of the Congo, setting up the story within a story.",high
What is 'anachronism'? Give an example from literature.,"Something placed in the wrong time period; e.g., a clock in Shakespeare's 'Julius Caesar'.",high
Explain the concept of 'the other' in postcolonial literature.,"The 'other' refers to colonized peoples portrayed as different and inferior, used to justify colonialism.",high
How does dystopian fiction critique contemporary society?,"By exaggerating current trends (e.g., surveillance, consumerism) to warn about potential futures.",high
Define 'metafiction' and give an example.,"Fiction that self-consciously addresses its own fictionality; e.g., 'If on a winter's night a traveler'.",high
What is the significance of the 'purgatorio' in Dante's Divine Comedy?,"It represents the journey of purification and repentance, leading to salvation.",high
Analyze the use of light and dark imagery in 'Paradise Lost'.,Light symbolizes God and good; dark symbolizes Hell and evil; Satan's fall from light to darkness.,high
What is the difference between a 'parody' and a 'satire'?,Parody mimics a specific work for comedic effect; satire uses humor to criticize society or individuals.,high
Explain 'hamartia' in tragedy.,The tragic flaw or error in judgment that leads to the protagonist's downfall.,high
How does Samuel Beckett use absurdism in 'Waiting for Godot'?,"The characters' pointless waiting, circular dialogue, and lack of action highlight the absurdity of existence.",high
What is 'ekphrastic poetry'?,"Poetry that vividly describes a piece of visual art, often to explore its meaning.",high
Define 'polysyndeton' and its effect.,"The use of multiple conjunctions in close succession, creating rhythm or overwhelming feeling.",high
What is a screen?,A screen is a flat surface that shows pictures and words.,elementary
Why do we brush our teeth?,To keep them clean and healthy.,elementary
What sport uses a ball and a bat?,Baseball or softball.,elementary
What is a healthy food?,Fruits and vegetables are healthy foods.,elementary
What holiday is celebrated with fireworks in the US?,The Fourth of July (Independence Day).,elementary
How do you send a text message?,Type a message on a phone and press send.,elementary
What does exercise do for your body?,It makes your muscles stronger and your heart healthy.,elementary
Name a traditional food from Italy.,Pizza or pasta.,elementary
What is the main ingredient in bread?,Flour.,elementary
How many players are on a soccer team?,Eleven.,elementary
What does a thermometer measure?,Temperature.,elementary
What is a virus?,A tiny germ that can make you sick.,elementary
What day is known as Earth Day?,April 22.,elementary
What do you use to surf the internet?,"A computer, tablet, or phone.",elementary
Why do we wear sunscreen?,To protect our skin from the sun.,elementary
What animal is known as man's best friend?,Dog.,elementary
What is a tradition for New Year's Eve?,Watching fireworks or counting down.,elementary
What is a keyboard used for?,Typing letters and numbers into a computer.,elementary
Name a sport played on ice.,Ice hockey or figure skating.,elementary
What does 'stay hydrated' mean?,Drink enough water.,elementary
What holiday involves dressing up in costumes?,Halloween.,elementary
What is a password?,A secret word to protect your account.,elementary
How many legs does a dog have?,Four.,elementary
What is a healthy drink?,Water or milk.,elementary
What is a common team sport in schools?,Basketball.,elementary
What is the main food of Mexico?,Tacos or tortillas.,elementary
What is a tablet?,A portable computer with a touch screen.,elementary
How can you prevent catching a cold?,Wash your hands often.,elementary
What is the name of the big event every four years where countries compete in sports?,The Olympics.,elementary
What is a tradition during Chinese New Year?,Giving red envelopes.,elementary
What does Wi-Fi allow you to do?,Connect to the internet without wires.,elementary
What is a vegetable that is long and orange?,A carrot.,elementary
How many players are on a basketball team?,Five.,elementary
What holiday celebrates love?,Valentine's Day.,elementary
What is a mouse used for?,To move the cursor on a computer screen.,elementary
What does it mean to be 'active'?,To move around and exercise.,elementary
What sport involves hitting a ball over a net with your hands?,Volleyball.,elementary
What is a popular dish from Japan?,Sushi.,elementary
What is a battery?,A device that stores electricity.,elementary
Why is it important to eat breakfast?,To give your body energy for the day.,elementary
What is a traditional dance in some cultures?,Hula or folk dance.,elementary
What does 'logout' mean?,To sign out of a website or app.,elementary
How many glasses of water should you drink a day?,About 8 glasses.,elementary
What sport uses a puck?,Ice hockey.,elementary
What holiday is about giving thanks?,Thanksgiving.,elementary
What is a search engine used for?,To find information on the internet.,elementary
What is a fruit that is yellow and curved?,A banana.,elementary
What is a game where you try to get the ball into a hoop?,Basketball.,elementary
What is a traditional clothing in India?,Sari or kurta.,elementary
What is an app?,A program you use on a phone or tablet.,elementary
How does a vaccine help your body?,It helps your immune system fight a disease.,middle
Compare a calorie and a nutrient.,A calorie is a unit of energy from food; a nutrient is a substance your body needs to function.,middle
Why do athletes warm up before a game?,To prevent injury and prepare muscles for activity.,middle
Explain how a search engine ranks web pages.,"It uses algorithms that consider keywords, relevance, and popularity.",middle
How does recycling help the environment?,It reduces waste and saves resources like trees and water.,middle
What is a serving size?,A recommended amount of a food to eat in one sitting.,middle
Describe one advantage and one disadvantage of social media.,Advantage: connects people globally. Disadvantage: can spread misinformation.,middle
What is the role of a coach?,"To train athletes, develop strategies, and motivate the team.",middle
Compare aerobic and anaerobic exercise.,"Aerobic uses oxygen for endurance; anaerobic is high intensity without oxygen, like sprinting.",middle
What does 'Wi-Fi' stand for?,Wireless Fidelity.,middle
Why is fiber important in your diet?,It helps digestion and keeps you full.,middle
What is a hashtag used for?,To categorize posts on social media.,middle
Explain the concept of 'home field advantage'.,Teams perform better at their own stadium due to familiarity and crowd support.,middle
What is the difference between weather and climate?,Weather is day-to-day conditions; climate is long-term patterns.,middle
How does a smartphone know your location?,Using GPS satellites and Wi-Fi signals.,middle
What is a BMI and what does it indicate?,Body mass index; it estimates body fat based on height and weight.,middle
Compare two types of martial arts.,Karate focuses on striking; judo focuses on throws and grappling.,middle
Why is it important to have a strong password?,To protect your accounts from hackers.,middle
What is an antibiotic and what does it treat?,A medicine that kills bacteria; treats bacterial infections.,middle
How does a pedometer measure steps?,It detects motion using an accelerometer.,middle
What is a tradition for celebrating birthdays in Mexico?,Piñatas and breaking them open for candy.,middle
Explain the term 'viral' in social media.,Content that spreads rapidly online.,middle
What is the difference between whole grain and refined grain?,"Whole grain contains all parts of the grain; refined has been processed, losing nutrients.",middle
What is a 'first down' in football?,Gaining 10 yards in four downs to keep possession.,middle
How do solar panels work?,They convert sunlight into electricity using photovoltaic cells.,middle
What is the purpose of a healthy diet?,To provide nutrients for growth and energy.,middle
Compare a marathon and a sprint.,A marathon is a long-distance race; a sprint is a short burst at maximum speed.,middle
What is a 'phishing' attack?,A scam that tricks people into giving personal information via fake emails or websites.,middle
Why do some people have food allergies?,Their immune system overreacts to certain proteins in food.,middle
What is a 'bye' in a sports tournament?,A free pass to the next round without playing.,middle
How does a refrigerator keep food cold?,By using a refrigerant to remove heat from inside.,middle
What is the glycemic index?,A measure of how quickly a food raises blood sugar.,middle
What is a 'hat trick' in sports?,"Scoring three times in a single game, often in hockey or soccer.",middle
Explain the difference between a URL and an IP address.,URL is a human-readable web address; IP is a numerical label for devices.,middle
What is a 'superfood'?,A nutrient-rich food considered beneficial for health.,middle
Why do athletes use protein shakes?,To repair muscles after exercise and support growth.,middle
What is an algorithm on social media?,A set of rules that determines what content you see.,middle
Compare sprinting and distance running: which burns more energy per minute?,Sprinting burns more energy per minute due to higher intensity.,middle
What is the purpose of a fire drill?,To practice safe evacuation in case of fire.,middle
How does a vaccine work?,It introduces a harmless part of a germ to trigger an immune response.,middle
What is 'fracking'?,"Hydraulic fracturing, a method to extract oil and gas from rock.",middle
What is the difference between a pulled muscle and a sprain?,A pulled muscle affects muscle fibers; a sprain affects ligaments.,middle
Explain the term 'catfish' in online contexts.,A person who pretends to be someone else online.,middle
What is a 'balanced diet'?,Eating a variety of foods in the right proportions.,middle
What is a 'free throw' in basketball?,An unopposed shot from the free-throw line after a foul.,middle
How does cloud storage work?,Data is stored on remote servers accessed via the internet.,middle
What is an 'antioxidant'?,A substance that prevents cell damage from free radicals.,middle
Why is hydration important during exercise?,To regulate body temperature and prevent dehydration.,middle
What is a 'blog'?,An online journal or website where someone posts regular entries.,middle
Compare lactose intolerance and a milk allergy.,Lactose intolerance is trouble digesting lactose; milk allergy is an immune reaction to milk proteins.,middle
What is 'overtraining'?,Excessive exercise leading to fatigue and poor performance.,middle
Analyze how social media algorithms can create echo chambers.,"Algorithms show users content they engage with, reinforcing existing views and limiting exposure to diverse perspectives, which can polarize opinions.",high
Evaluate the role of probiotics in gut health.,"Probiotics are live bacteria that can improve gut microbiota balance, aiding digestion and immunity, but effects vary by strain and individual.",high
Explain the concept of 'periodization' in athletic training.,Periodization is the systematic planning of training cycles to optimize performance and prevent overtraining by varying intensity and volume over time.,high
Compare CRISPR-Cas9 and traditional gene therapy.,"CRISPR-Cas9 is a precise gene-editing tool that can target specific DNA sequences, while traditional gene therapy often involves adding a functional gene. CRISPR is more efficient but raises ethical concerns.",high
How does a calorie deficit lead to weight loss?,"A calorie deficit means consuming fewer calories than expended; the body then uses stored fat for energy, resulting in weight loss over time.",high
Discuss the implications of net neutrality.,"Net neutrality is the principle that ISPs should treat all data equally. Without it, ISPs could prioritize or block content, potentially restricting access and innovation.",high
Analyze the relationship between exercise and mental health.,"Exercise releases endorphins and serotonin, reduces cortisol, and can alleviate symptoms of depression and anxiety by improving mood and neuroplasticity.",high
What is the difference between type 1 and type 2 diabetes?,Type 1 is an autoimmune attack on insulin-producing cells; type 2 is insulin resistance often linked to lifestyle. Type 2 can sometimes be managed with diet and exercise.,high
Explain how machine learning is used in recommendation systems.,"Algorithms analyze user behavior and preferences to predict and suggest content, using collaborative filtering or content-based filtering.",high
Evaluate the pros and cons of genetically modified organisms (GMOs) in agriculture.,"Pros: increased yields, pest resistance, nutritional enhancement. Cons: potential environmental impact, ethical concerns, corporate control.",high
Describe the role of antioxidants in preventing oxidative stress.,"Antioxidants neutralize free radicals, which are unstable molecules that can damage cells; this reduces the risk of chronic diseases like cancer and heart disease.",high
Analyze the impact of wearable technology on personal health monitoring.,"Wearables track metrics like heart rate and activity, empowering users to manage health proactively, but may cause anxiety or data privacy issues.",high
Explain the principle of 'overload' in strength training.,"To gain strength, muscles must be challenged beyond their current capacity; progressive overload gradually increases resistance to stimulate adaptation.",high
What is the 'digital divide' and why does it matter?,"The gap between those with access to technology and those without; it affects education, economic opportunities, and social inclusion.",high
Compare saturated and unsaturated fats in terms of health effects.,Saturated fats can raise LDL cholesterol and increase heart disease risk; unsaturated fats (mono- and polyunsaturated) can improve cholesterol profiles.,high
How does a 'zone defense' work in basketball?,"Players guard specific areas of the court rather than individual opponents, aiming to protect the basket and force outside shots.",high
Discuss the ethics of data collection by tech companies.,"Companies collect user data for profit, raising concerns about consent, privacy, and manipulation. Regulations like GDPR aim to protect users.",high
Explain the concept of 'thermodynamics' as it relates to nutrition.,The first law states energy cannot be created or destroyed; weight change depends on energy balance (calories in vs. out).,high
What is the role of a 'sweeper' in soccer?,"A sweeper is a defender who plays behind the backline, sweeping up loose balls and covering gaps.",high
Analyze the potential benefits and risks of artificial intelligence in healthcare.,"Benefits: improved diagnosis, personalized treatment, efficiency. Risks: job displacement, bias in algorithms, privacy concerns.",high
How does intermittent fasting affect metabolism?,"It may improve insulin sensitivity and promote fat burning by altering hormone levels, but individual results vary and it's not suitable for everyone.",high
Evaluate the environmental impact of electric vehicles compared to gasoline cars.,"EVs produce fewer emissions over their lifetime, even considering battery production; they reduce air pollution but require electricity from renewable sources for maximum benefit.",high
Explain the principle of 'specificity' in training.,"Training adaptations are specific to the type of exercise; to improve at a particular skill, you must practice that skill with appropriate intensity.",high
What is the difference between a 'stock' and a 'broth'?,"Stock is made from bones, simmered longer for collagen; broth is made from meat and vegetables, more flavorful but less gelatinous.",high
Discuss the concept of 'FOMO' (fear of missing out) in social media.,FOMO is anxiety from seeing others' experiences online; it can lead to compulsive checking and decreased life satisfaction.,high
How do statins work to lower cholesterol?,"They inhibit HMG-CoA reductase, an enzyme involved in cholesterol production in the liver, reducing LDL levels.",high
Analyze the strategy of 'playing defensively' in a team sport.,"Defensive play focuses on preventing opponent scoring; it can involve formations like the 'prevent defense' in football, risking possession but protecting leads.",high
Explain the term 'blockchain' and its application beyond cryptocurrency.,"A blockchain is a decentralized, immutable ledger; it can be used for supply chain tracking, voting systems, and secure records.",high
What is the difference between a 'food allergy' and 'food intolerance'?,"Allergy involves immune system; intolerance is digestive system unable to process certain foods (e.g., lactose intolerance).",high
Evaluate the role of a 'nutrition label' in making healthy choices.,"Labels provide calorie, nutrient, and ingredient info; they help consumers compare products but can be misleading if serving sizes are unrealistic.",high
How does the 'offside rule' in soccer prevent goal-hanging?,"A player is offside if they are behind the last defender when the ball is played, forcing attackers to time runs and preventing easy goals.",high
Discuss the potential societal impact of deepfake technology.,"Deepfakes can spread misinformation, harm reputations, and erode trust; they also raise legal and ethical questions about consent and authenticity.",high
Explain the concept of 'peak' in athletic performance.,Peaking is temporarily achieving maximum performance through tapering and training timing; it is often used for competitions.,high
What is the role of a 'placebo' in clinical trials?,A placebo is an inert substance used to compare against a treatment; it controls for psychological effects and confirms the treatment's efficacy.,high
Analyze the arguments for and against mandatory vaccination.,"For: herd immunity, public health protection. Against: individual liberty, concerns about safety. Balancing ethics and epidemiology is complex.",high
How does 'high-intensity interval training' (HIIT) improve fitness?,"HIIT alternates short bursts of intense exercise with rest, improving cardiovascular fitness, metabolism, and fat burning in less time.",high
What is the 'Tragedy of the Commons' in environmental science?,"A shared resource overexploited by individuals acting in self-interest, leading to depletion; examples include overfishing and pollution.",high
Explain the difference between a 'hack' and a 'breach'.,A hack is unauthorized system access; a breach is a confirmed incident where data is accessed or disclosed. A breach often results from a hack.,high
Discuss the significance of 'glycemic load' over glycemic index.,"Glycemic load considers both GI and carbohydrate amount, giving a more accurate picture of a food's effect on blood sugar.",high
What is a 'draft' in professional sports?,"A system where teams select eligible players, usually amateur athletes, to assign them to teams, ensuring competitive balance.",high
Analyze the ethical considerations of autonomous vehicles.,"Issues include liability in accidents, decision-making in unavoidable crashes (trolley problem), and impact on jobs (drivers). Safety and regulation are key.",high
How does 'cross-training' benefit an athlete?,"It improves overall fitness by variety, reduces injury risk by avoiding overuse, and enhances performance in the primary sport.",high
What is the role of a 'dietitian' vs a 'nutritionist'?,Dietitians are regulated professionals with accredited training; nutritionists may have varying credentials. Both give dietary advice.,high
Explain the concept of 'marginal gains' in sports performance.,"Small incremental improvements in many areas (diet, technique, sleep) can accumulate to significant performance gains overall.",high
Discuss the impact of screen time on sleep.,"Blue light from screens suppresses melatonin, disrupting circadian rhythms and reducing sleep quality; limiting screen time before bed is recommended.",high
What is the difference between 'anaerobic' and 'aerobic' respiration?,"Aerobic uses oxygen to produce energy; anaerobic does not, producing lactic acid and less energy, used in high-intensity exercise.",high
Analyze the pros and cons of a universal basic income (UBI) in the age of automation.,"Pros: reduces poverty, supports displaced workers. Cons: expensive, may reduce incentive to work. Feasibility depends on implementation.",high
What is the sum of 5 and 3?,8,elementary
What is 10 divided by 2?,5,elementary
What shape has four equal sides?,Square,elementary
"If you have 3 apples and you eat 1, how many are left?",2,elementary
What is the next number after 19?,20,elementary
What is 7 times 3?,21,elementary
Circle has how many corners?,0,elementary
What is 100 minus 25?,75,elementary
Which is heavier: a kilogram of feathers or a kilogram of iron?,Same weight,elementary
What is the smallest prime number?,2,elementary
How many zeros in one hundred?,2,elementary
What is 3 plus 4?,7,elementary
Which number comes after 9?,10,elementary
How many minutes in an hour?,60,elementary
What is the shape of a ball?,Sphere,elementary
"If you have 8 cookies and share them equally with 4 friends, how many does each get?",2,elementary
What is 6 times 5?,30,elementary
What is 20 plus 30?,50,elementary
Which is longer: 1 meter or 1 foot?,1 meter,elementary
What is the sum of 2 and 2?,4,elementary
How many sides does a rectangle have?,4,elementary
What is 9 minus 5?,4,elementary
What is half of 10?,5,elementary
What is the number after 99?,100,elementary
How many cups in a pint?,2,elementary
Which is bigger: 1/2 or 1/3?,1/2,elementary
What is the perimeter of a square with side 2 cm?,8 cm,elementary
How many degrees in a right angle?,90,elementary
What is 4 multiplied by 6?,24,elementary
What shape has no sides?,Circle,elementary
How many inches in a foot?,12,elementary
What is 8 plus 7?,15,elementary
What is the area of a rectangle 2 by 3?,6,elementary
What is 3 squared?,9,elementary
What is the sum of 7 and 8?,15,elementary
What is the value of pi approximated to 2 decimals?,3.14,elementary
How many days in a week?,7,elementary
What is 10 minus 7?,3,elementary
What is 2 plus 2?,4,elementary
Which is heavier: 1 kg of water or 1 kg of steel?,Same,elementary
What is the cube of 2?,8,elementary
How many vertices does a cube have?,8,elementary
What is 18 divided by 3?,6,elementary
What is the product of 7 and 2?,14,elementary
Solve: 5x = 20. What is x?,4,elementary
Classify as element or compound: water (H2O).,Compound,middle
What is the formula for the area of a triangle?,1/2 * base * height,middle
"If a car travels 60 miles per hour, how far does it go in 3 hours?",180 miles,middle
Compare: is 0.5 greater than 0.05?,Yes,middle
What is the atomic number of oxygen?,8,middle
Simplify: 3(x + 2) - x.,2x + 6,middle
What is the density of an object with mass 10 g and volume 2 cm^3?,5 g/cm^3,middle
List three states of matter.,"Solid, liquid, gas",middle
"What is the mean of 3, 7, 9, 11?",7.5,middle
Solve: 2x - 5 = 7.,x = 6,middle
What is the chemical symbol for iron?,Fe,middle
Calculate: 2^3 * 3^2.,72,middle
What is the volume of a cube with side 4 cm?,64 cm^3,middle
Convert 0.25 to a fraction in simplest form.,1/4,middle
What is the formula for speed?,distance/time,middle
Classify: NaOH is an acid or base?,Base,middle
Solve: 1/2 + 1/3.,5/6,middle
What is the perimeter of a rectangle with length 5 and width 3?,16,middle
What is a prime number?,A number with exactly two factors: 1 and itself.,middle
Balance: H2 + O2 -> H2O,2H2 + O2 -> 2H2O,middle
"If two angles of a triangle are 50° and 60°, what is the third?",70°,middle
What is the square root of 144?,12,middle
What is the SI unit for force?,Newton,middle
Calculate: 15% of 200.,30,middle
Simplify: (2/3) / (4/5).,5/6,middle
"What is the median of 4, 8, 2, 9, 5?",5,middle
How many protons in a carbon atom?,6,middle
Solve: 3x + 7 = 22.,x = 5,middle
What is the area of a circle with radius 3 cm? (use π=3.14),28.26 cm^2,middle
Classify: CH4 is organic or inorganic?,Organic,middle
Convert 0.75 to a percent.,75%,middle
What is the product of -3 and -4?,12,middle
Define: What is a mole in chemistry?,6.022 x 10^23 particles of a substance.,middle
Calculate: 7! (factorial).,5040,middle
What is the slope of the line y = 2x + 3?,2,middle
Distinguish: ionic vs covalent bond.,Ionic: electron transfer; covalent: sharing.,middle
Solve: x^2 = 49.,x = ±7,middle
What is the acceleration due to gravity on Earth?,9.8 m/s^2,middle
Calculate: 2/5 of 60.,24,middle
"What is the mode of 2, 2, 3, 4, 5?",2,middle
Balance: Mg + O2 -> MgO,2Mg + O2 -> 2MgO,middle
Convert 100°C to Kelvin.,373.15 K,middle
Solve: 2x + 3 = 5x - 9.,x = 4,middle
What is the range of a dataset?,Maximum minus minimum.,middle
List the first three prime numbers.,"2, 3, 5",middle
What is the chemical formula for carbon dioxide?,CO2,middle
Calculate: 5^2 - 4^2.,9,middle
What is the y-intercept of y = -3x + 6?,6,middle
Describe the process of photosynthesis in one sentence.,Plants use sunlight to convert CO2 and water into glucose and oxygen.,middle
What is 10^3?,1000,middle
Classify: HCl is a strong or weak acid?,Strong acid,middle
Solve: 4x - 7 = 2x + 5.,x = 6,middle
What is the circumference of a circle with diameter 10 cm? (use π=3.14),31.4 cm,middle
Define: isotope.,Atoms of same element with different numbers of neutrons.,middle
Calculate: 1/4 + 3/8.,5/8,middle
What is the force on a 2 kg mass accelerating at 3 m/s^2?,6 N,middle
What is the coefficient in 3x^2?,3,middle
Convert 25% to a decimal.,0.25,middle
What is the formula for copper(II) sulfate?,CuSO4,middle
Solve: 6x = 42.,x = 7,middle
What is the volume of a sphere with radius 3 cm? (use π=3.14),113.04 cm^3,middle
Define: concentration gradient.,Difference in concentration of a substance across a space.,middle
Calculate: 0.1 + 0.9.,1.0,middle
What is the derivative of x^2?,2x,high
Calculate the pH of 0.01 M HCl.,2,high
Prove that sqrt(2) is irrational using contradiction.,"Assume sqrt(2)=a/b in lowest terms, then 2=a^2/b^2 => a^2=2b^2 => a even, b even => contradiction.",high
What is the integrated rate law for a first-order reaction?,ln[A] = -kt + ln[A]0,high
"Solve the system: x + y = 5, 2x - y = 1.","x=2, y=3",high
Explain why NaCl dissolves in water.,Ion-dipole interactions between Na+/Cl- and water molecules overcome lattice energy.,high
What is the limit of (x^2-1)/(x-1) as x approaches 1?,2,high
"Calculate the standard deviation of 1, 3, 5, 7, 9.",approx 3.16 (sqrt(10)),high
What is the hybridization of carbon in methane?,sp3,high
"Find the inverse of the matrix [[1,2],[3,4]].","[[-2,1],[1.5,-0.5]]",high
What is the binding energy of a nucleus?,Energy required to disassemble a nucleus into its protons and neutrons.,high
Integrate: ∫ x dx from 0 to 2.,2,high
Define: resonance in chemistry.,Delocalization of electrons within certain molecules or ions that cannot be represented by a single Lewis structure.,high
Solve for x: ln(x) = 2.,x = e^2 ≈ 7.389,high
